Date,Daily maximum temperature
2022/8/1,35.9
2022/8/2,35.9
2022/8/3,36.1
2022/8/4,29.7
2022/8/5,27.7
2022/8/6,28.8
2022/8/7,33
2022/8/8,33.9
2022/8/9,35.7
2022/8/10,35.3
2022/8/11,34.3
2022/8/12,32
2022/8/13,28.6
2022/8/14,33.3
2022/8/15,34
2022/8/16,36.4
2022/8/17,32.3
2022/8/18,31.1
2022/8/19,32.5
2022/8/20,31.2
2022/8/21,29
2022/8/22,29.5
2022/8/23,33.5
2022/8/24,32.7
2022/8/25,29.3
2022/8/26,31.3
2022/8/27,33.9
2022/8/28,28.1
2022/8/29,28
2022/8/30,26.2
2022/8/31,32.5