date,press_local,press_sea,prec_total,max_prec_1hour,max_prec_10min,mean_temp,max_temp,min_temp,mean_humid,min_humid,mean_wind_speed,max_wind_speed,max_wind_speed_dir,max_inst_wind_speed,max_inst_wind_speed_dir,sunshine,snowfall,deepest_snowfall
1,1010.1,1012.8,0,0,0,30.6,35.9,27.1,72,55,2.8,6.5,SE,9.5,SE,10.6,--,--
2,1008.8,1011.5,0,0,0,31.6,35.9,27.6,71,55,2.5,5.2,SE,9.2,NW,10.7,--,--
3,1005.1,1007.8,0,0,0,31.5,36.1,28.2,75,53,2.3,5.1,SE,8,S,8.3,--,--
4,1006,1008.8,18,12.5,6.5,24.6,29.7,22.2,89,70,2.7,5.4,ENE,9,ENE,0,--,--
5,1006.1,1008.9,0,1,0,23.8,27.7,21.6,83,68,2.9,4.9,NE,8.2,E,0.2,--,--
6,1008.1,1010.9,--,--,--,25.2,28.8,22.3,73,58,2.4,4.5,ESE,7.2,ESE,2.3,--,--
7,1009.3,1012,0,0,0,27.6,33,24.4,80,60,2.2,4.9,SSE,7.5,SSE,2.5,--,--
8,1008.5,1011.2,--,--,--,29.8,33.9,26.2,75,59,4.5,8,SSW,13.3,S,9.2,--,--
9,1006.9,1009.6,--,--,--,30.9,35.7,27.7,69,54,5.5,8.4,S,14.4,SSW,11.9,--,--
10,1007.2,1009.9,--,--,--,30.5,35.3,27.5,70,54,5.3,9.3,S,15.9,SSW,12.1,--,--
11,1007.5,1010.2,--,--,--,29.5,34.3,26.8,75,60,5.4,8.9,S,15.6,SW,10.1,--,--
12,1007.5,1010.3,2,1,1,28.3,32,25.3,81,64,5.8,8.8,SSW,16.1,S,3.8,--,--
13,1005.6,1008.3,47.5,15.5,7.5,25.5,28.6,23.8,94,80,4.8,8.6,SSE,17.2,S,0.2,--,--
14,1003,1005.7,0,0,0,28.2,33.3,23.7,84,52,2.6,5.2,S,9.1,SW,4.4,--,--
15,1003.4,1006.1,--,--,--,29.4,34,25.9,78,54,2.5,5.1,SSW,9.1,SSW,7,--,--
16,1000.6,1003.3,0,0,0,31,36.4,27.9,70,51,4.8,8.1,SSW,14.5,SSW,7.7,--,--
17,1005.8,1008.5,5,4,3.5,27.3,32.3,23.4,77,62,2.5,4.5,SW,8.4,SSW,1,--,--
18,1001.7,1004.4,13,8,2,26.8,31.1,23.7,81,51,2.8,6.8,S,11.7,SSW,3.8,--,--
19,1001.7,1004.4,--,--,--,27.5,32.5,22.7,62,41,3.4,6.7,SE,11.7,SSE,10.6,--,--
20,1000.6,1003.4,1.5,0.5,0.5,26.4,31.2,23.8,82,59,1.8,3.8,SE,6.1,NW,3.3,--,--
21,1002.3,1005.1,1,1,0.5,26,29,23.8,87,67,2.1,4.5,NE,7.3,ESE,1.1,--,--
22,1005.5,1008.3,0,0,0,26.2,29.5,23.6,82,69,2.5,4.2,SE,7.4,NE,0.4,--,--
23,1003.2,1005.9,--,--,--,28.7,33.5,24.7,83,63,3.2,6.8,SSE,10.8,SSE,6.1,--,--
24,1003.2,1005.9,2,1,1,27.8,32.7,22.6,79,62,2.9,5.8,ENE,10.4,E,3.8,--,--
25,1004.1,1006.9,0,0,0,25.7,29.3,23,77,57,2,3.6,SE,6.7,NNE,0.4,--,--
26,1002.5,1005.2,3.5,3.5,3,27,31.3,24.2,89,67,2.1,4.9,SSE,7.8,SSE,0.4,--,--
27,1002.7,1005.4,0,0,0,29,33.9,26.5,80,56,3.3,7,SSE,11.3,SSE,8.1,--,--
28,1009.2,1012,5,3,1.5,23.7,28.1,21.4,87,75,3,5.4,NNE,9.4,NE,0.2,--,--
29,1016.1,1018.9,0.5,0.5,0.5,23.3,28,18.6,69,36,2.8,4.8,NE,9,N,4.4,--,--
30,1012.5,1015.3,5,2.5,1.5,22.8,26.2,20.2,88,68,1.9,4.1,NW,6.4,NW,0,--,--
31,1007.6,1010.3,1,0.5,0.5,27.1,32.5,22.3,85,61,3.2,7,S,12.5,S,5.8,--,--